Rank,Name,Median_score,Cooperation_rating,Wins,Initial_C_rate,CC_rate,CD_rate,DC_rate,DD_rate,CC_to_C_rate,CD_to_C_rate,DC_to_C_rate,DD_to_C_rate
59,"Memory Decay: 0.1, 0.03, -2, 1, Tit For Tat, 15",2.624282700421941,0.7473481012658227,34.0,1.0,0.7166645569620254,0.030683544303797456,0.054472573839662454,0.1981793248945148,0.9968625707585336,0.7003652587453635,0.6271276524196191,0.003386986116154433
60,Resurrection,2.622995780590718,0.7534662447257384,17.5,1.0,0.6978016877637128,0.05566455696202539,0.07075105485232076,0.17578270042194097,1.0,0,0.8763916966399792,0
61,"Alexei: (D,)",2.620559071729954,0.7736540084388186,160.0,1.0,0.7106160337552743,0.06303797468354426,0.06540295358649804,0.1609430379746834,0.9957088698517186,0,0.9972301235525577,0
62,Second by Leyvraz,2.618597046413502,0.854704641350211,16.5,1.0,0.7689873417721519,0.08571729957805908,0.04214345991561181,0.10315189873417721,0.9395833134299585,0.4378311666508828,0.8124795670868654,0.4863592488292721
63,Meta Majority Long Memory: 136 players,2.6182594936708865,0.7200126582278481,41.0,1.0,0.6974303797468352,0.022582278481012654,0.06143037974683551,0.21855696202531655,0.9895425741711241,0.039031177156651754,0.7094060977247784,0
64,Contrite Tit For Tat,2.614926160337554,0.7785443037974683,0.0,1.0,0.7149662447257382,0.06357805907173004,0.062299578059071783,0.15915611814345992,1.0,0,1.0,0
65,"Limited Retaliate 3: 0.05, 20",2.61460970464135,0.6231054852320675,68.5,1.0,0.6048312236286919,0.018274261603375502,0.10568565400843881,0.27120886075949374,0.9466990401405093,0,0.062062761725477505,0.05543805164452469
66,"ZD-GEN-2: 0.125, 0.5, 3",2.612088607594937,0.8504388185654008,7.5,1.0,0.7741582278481012,0.0762805907172996,0.03594936708860759,0.1136118143459915,1.0,0.5656462479953934,0.5158098975629538,0.13439996744670618
67,Tit For Tat,2.611909282700422,0.7771434599156118,0.0,1.0,0.7131244725738395,0.06401898734177222,0.06273839662447263,0.16011814345991562,1.0,0,1.0,0
68,Forgiving Tit For Tat,2.6114556962025315,0.7834978902953587,0.0,1.0,0.7207236286919829,0.06277426160337558,0.058308016877637175,0.1581940928270042,1.0,0.49859853411548855,1.0,0
69,Adaptive Tit For Tat: 0.5,2.610400843881858,0.7766877637130801,0.0,1.0,0.7132890295358649,0.06339873417721528,0.061936708860759554,0.16137552742616035,1.0,0.24903547271590762,1.0,0
70,Second by Eatherley,2.6100632911392405,0.875879746835443,0.0,1.0,0.8008945147679325,0.0749852320675106,0.021067510548523186,0.1030527426160338,1.0,0.5309008171897904,1.0,0.34227648422590484
