Rank,Name,Median_score,Cooperation_rating,Wins,Initial_C_rate,CC_rate,CD_rate,DC_rate,DD_rate,CC_to_C_rate,CD_to_C_rate,DC_to_C_rate,DD_to_C_rate
34,Nice Meta Winner Ensemble: 215 players,2.2534704641350216,0.4986708860759494,114.5,0.5109704641350211,0.2496624472573839,0.24900843881856535,0.25057805907173,0.2507510548523208,0.5006192479081788,0.495466394321351,0.5000119000618731,0.49839536417254265
35,First by Downing,2.2534599156118142,0.5010210970464135,115.0,0.4940928270042194,0.25069198312236285,0.2503291139240508,0.25000843881856544,0.24897046413502102,0.5008495410914188,0.5006795728119525,0.5030435260593255,0.49981259497642067
36,"ZD-GEN-2: 0.125, 0.5, 3",2.2534493670886073,0.5005759493670886,116.0,0.5004219409282701,0.25091983122362865,0.2496561181434599,0.24947890295358643,0.24994514767932502,0.5008441032503834,0.5001292912230525,0.5002972511349519,0.50103968892234
37,Worse and Worse 3,2.2533122362869196,0.4990168776371308,121.0,0.5033755274261603,0.2490738396624472,0.24994303797468342,0.2507869198312237,0.2501962025316456,0.49793474478894667,0.4993038698353698,0.49930706052423274,0.4993160471069703
38,Forgetful Grudger,2.2533016877637135,0.4984071729957806,115.0,0.5101265822784811,0.24882911392405055,0.24957805907173,0.251282700421941,0.2503101265822784,0.49852431154212085,0.4999060501897317,0.49720623425113736,0.49770703406581185
39,PSO Gambler 1_1_1,2.2532911392405057,0.49933755274261604,117.5,0.5021097046413502,0.249584388185654,0.2497531645569619,0.25054852320675114,0.250113924050633,0.49976804643783856,0.4989684722269141,0.4992182290269098,0.49931517377917933
40,ShortMem,2.253270042194093,0.5006540084388186,113.5,0.50084388185654,0.2507679324894515,0.24988607594936718,0.2502869198312236,0.24905907172995773,0.49985797477181976,0.5009442226056008,0.5004608290899885,0.5013435469347092
41,Hard Go By Majority,2.253259493670886,0.4993438818565401,113.5,0.4928270042194093,0.24932700421940948,0.2500168776371308,0.25039029535864976,0.25026582278481,0.49961026812923415,0.5015267213466029,0.49840353892343375,0.4979202334860407
42,MEM2,2.2532489451476794,0.4990464135021097,114.5,0.5067510548523206,0.24976160337552739,0.24928481012658213,0.24986919831223642,0.251084388185654,0.5007917036019842,0.4989872297552998,0.4983755206150699,0.4980126302412781
43,Fortress3,2.2532278481012655,0.4998481012658228,112.0,0.4877637130801688,0.2504810126582279,0.2493670886075949,0.25047679324894523,0.2496751054852319,0.4999865575143872,0.49927971096035956,0.4995592713786676,0.5007597151372903
44,"N Tit(s) For M Tat(s): 3, 2",2.2531856540084383,0.4995168776371308,112.5,0.5016877637130802,0.24958649789029533,0.2499303797468354,0.2502426160337554,0.2502405063291138,0.5005078188095854,0.49977997335636937,0.4989289688413635,0.49850497654619474
45,Soft Grudger,2.253132911392405,0.4996814345991561,111.5,0.49873417721518987,0.24998734177215204,0.2496940928270041,0.24993459915611813,0.25038396624472575,0.4968673492935019,0.4995154846536513,0.5017864581973138,0.500643975137149
46,Meta Minority: 215 players,2.2530379746835445,0.500162447257384,113.5,0.47890295358649787,0.24954219409282713,0.2506202531645569,0.25086919831223625,0.2489683544303797,0.497738806515315,0.5012297893226442,0.5020937938921203,0.5000742246875461
47,Prober 4,2.253037974683544,0.49904008438818565,117.5,0.47890295358649787,0.2512046413502111,0.24783544303797453,0.2502025316455697,0.25075738396624475,0.4988824116370108,0.4979324501381538,0.5001956916511113,0.499490958227162
48,Second by Harrington,2.25298523206751,0.4979873417721519,116.5,0.49156118143459915,0.24904430379746842,0.2489430379746835,0.25132278481012665,0.2506898734177214,0.498527345888105,0.499356949022895,0.49742197801414706,0.4969366221003453
49,Second by Cave,2.252911392405063,0.4993755274261603,114.0,0.5059071729957806,0.24905063291139248,0.25032489451476797,0.2511413502109704,0.2494831223628692,0.4994357003138243,0.5006108581325088,0.4991918359972236,0.49802373192445
50,Hard Tit For Tat,2.2529008438818563,0.4999409282700422,112.5,0.5147679324894515,0.2502679324894515,0.24967299578059074,0.25016455696202533,0.24989451476793242,0.5012397810098769,0.4988599266240548,0.5002661338855972,0.4992450924620918
51,Tricky Level Punisher,2.25289029535865,0.5000907172995781,118.5,0.5063291139240507,0.2514704641350211,0.24862025316455696,0.24996835443037976,0.24994092827004227,0.49955408890357167,0.4987558484023011,0.5005661418828893,0.5014160508188319
52,Forgiving Tit For Tat,2.2528375527426157,0.4991054852320675,116.5,0.4805907172995781,0.2501898734177216,0.24891561181434613,0.24991772151898722,0.25097679324894506,0.4985013422021944,0.4985921631801281,0.49966509316286134,0.5000199733369866
53,Evolved ANN,2.2528270042194096,0.49965822784810127,117.0,0.47932489451476795,0.2510253164556962,0.24863291139240495,0.24997679324894514,0.25036497890295367,0.49824820051284846,0.5019770221721961,0.4985868491849235,0.5002037971149604
54,Cycler CCCDCD,2.2526160337552743,0.4999957805907173,114.5,0.48945147679324896,0.25124050632911377,0.24875527426160354,0.24970253164556974,0.25030168776371303,0.5006263943799791,0.49959075754984744,0.5009994996225737,0.4990817416380877
55,Second by Champion,2.2525,0.5008924050632911,114.5,0.4991561181434599,0.25089240506329114,0.24999999999999994,0.2497405063291139,0.2493670886075951,0.4973411786364526,0.5019791782250348,0.5005313412900821,0.5036753905902296
56,EvolvedLookerUp2_2_2,2.252489451476793,0.5005506329113925,114.0,0.49746835443037973,0.25021940928270037,0.2503312236286919,0.2504831223628693,0.2489662447257384,0.49857165120216307,0.5008445883135465,0.5018424469006746,0.5010292254118587
57,"Stalker: (D,)",2.252489451476793,0.4999451476793249,115.5,0.5075949367088608,0.2505949367088605,0.24935021097046417,0.24980590717299594,0.2502489451476794,0.4983451701031835,0.498770152524382,0.5018829254419296,0.5006641937436289
